,equiv_word,target_word,confidence,pair_cts,item_cts
141,starte,starter,1.0,8,8
142,patt,pattern,1.0,5,5
143,compt,compartment,0.9545454545454546,21,22
144,fgr,finger,1.0,5,5
145,bushing-liner,bushing-linersegment,1.0,6,6
146,gun,guninst,1.0,11,11
147,brkt-dmpr,bracket-damper,1.0,5,5
148,slvg,sleeving,1.0,7,7
149,fstnr,fastener,1.0,19,19
150,convertr,converter,1.0,5,5
